Model,Clinical,Lifestyle,Merged,Improvement_vs_Clinical,Improvement_vs_Lifestyle
KNN,0.3330543933054393,0.3336221837088388,0.3333333333333333,0.0002789400278940257,-0.0002888503755054672
MLP,0.3333333333333333,0.3333333333333333,0.3336113427856547,0.00027800945232137053,0.00027800945232137053
SVM,0.3323590814196242,0.3333333333333333,0.3340292275574112,0.0016701461377869875,0.0006958942240778976
XGBoost,0.3334722801167153,0.3285593934288121,0.3334722801167153,0.0,0.00491288668790324
