Model,FPR,TPR,AUC
KNN,0.0,0.0,0.503378125
KNN,0.000625,0.0,0.503378125
KNN,0.00375,0.0,0.503378125
KNN,0.00375,0.0025,0.503378125
KNN,0.005625,0.0025,0.503378125
KNN,0.005625,0.005,0.503378125
KNN,0.0075,0.005,0.503378125
KNN,0.0075,0.0075,0.503378125
KNN,0.008125,0.0075,0.503378125
KNN,0.008125,0.01,0.503378125
KNN,0.0125,0.01,0.503378125
KNN,0.0125,0.0125,0.503378125
KNN,0.03,0.0125,0.503378125
KNN,0.03,0.015,0.503378125
KNN,0.030625,0.015,0.503378125
KNN,0.030625,0.0225,0.503378125
KNN,0.035,0.0225,0.503378125
KNN,0.035,0.0275,0.503378125
KNN,0.0375,0.0275,0.503378125
KNN,0.0375,0.03,0.503378125
KNN,0.038125,0.03,0.503378125
KNN,0.038125,0.0325,0.503378125
KNN,0.03875,0.0325,0.503378125
KNN,0.03875,0.035,0.503378125
KNN,0.04,0.035,0.503378125
KNN,0.04,0.0375,0.503378125
KNN,0.040625,0.0375,0.503378125
KNN,0.040625,0.04,0.503378125
KNN,0.04125,0.04,0.503378125
KNN,0.04125,0.0425,0.503378125
KNN,0.046875,0.0425,0.503378125
KNN,0.046875,0.0475,0.503378125
KNN,0.050625,0.0475,0.503378125
KNN,0.050625,0.05,0.503378125
KNN,0.0525,0.05,0.503378125
KNN,0.0525,0.0525,0.503378125
KNN,0.06125,0.0525,0.503378125
KNN,0.06125,0.055,0.503378125
KNN,0.065,0.055,0.503378125
KNN,0.065,0.0575,0.503378125
KNN,0.065625,0.0575,0.503378125
KNN,0.065625,0.06,0.503378125
KNN,0.074375,0.06,0.503378125
KNN,0.074375,0.0625,0.503378125
KNN,0.08,0.0625,0.503378125
KNN,0.08,0.065,0.503378125
KNN,0.08125,0.065,0.503378125
KNN,0.08125,0.0675,0.503378125
KNN,0.081875,0.0675,0.503378125
KNN,0.081875,0.0725,0.503378125
KNN,0.08375,0.0725,0.503378125
KNN,0.08375,0.0775,0.503378125
KNN,0.086875,0.0775,0.503378125
KNN,0.086875,0.08,0.503378125
KNN,0.088125,0.08,0.503378125
KNN,0.088125,0.0825,0.503378125
KNN,0.089375,0.0825,0.503378125
KNN,0.089375,0.085,0.503378125
KNN,0.091875,0.085,0.503378125
KNN,0.091875,0.0875,0.503378125
KNN,0.095,0.0875,0.503378125
KNN,0.095,0.0975,0.503378125
KNN,0.1,0.0975,0.503378125
KNN,0.1,0.1,0.503378125
KNN,0.10125,0.1,0.503378125
KNN,0.10125,0.1025,0.503378125
KNN,0.115,0.1025,0.503378125
KNN,0.115,0.1075,0.503378125
KNN,0.116875,0.1075,0.503378125
KNN,0.116875,0.1125,0.503378125
KNN,0.12125,0.1125,0.503378125
KNN,0.12125,0.1175,0.503378125
KNN,0.123125,0.1175,0.503378125
KNN,0.123125,0.12,0.503378125
KNN,0.128125,0.12,0.503378125
KNN,0.128125,0.125,0.503378125
KNN,0.12875,0.125,0.503378125
KNN,0.12875,0.13,0.503378125
KNN,0.131875,0.13,0.503378125
KNN,0.131875,0.1325,0.503378125
KNN,0.1375,0.1325,0.503378125
KNN,0.1375,0.1375,0.503378125
KNN,0.140625,0.1375,0.503378125
KNN,0.140625,0.14,0.503378125
KNN,0.143125,0.14,0.503378125
KNN,0.143125,0.1425,0.503378125
KNN,0.14375,0.1425,0.503378125
KNN,0.14375,0.1475,0.503378125
KNN,0.14625,0.1475,0.503378125
KNN,0.14625,0.155,0.503378125
KNN,0.146875,0.155,0.503378125
KNN,0.146875,0.1575,0.503378125
KNN,0.1525,0.1575,0.503378125
KNN,0.1525,0.16,0.503378125
KNN,0.153125,0.16,0.503378125
KNN,0.153125,0.1625,0.503378125
KNN,0.155,0.1625,0.503378125
KNN,0.155,0.165,0.503378125
KNN,0.16125,0.165,0.503378125
KNN,0.16125,0.1675,0.503378125
KNN,0.161875,0.1675,0.503378125
KNN,0.161875,0.17,0.503378125
KNN,0.17125,0.17,0.503378125
KNN,0.17125,0.1775,0.503378125
KNN,0.1725,0.1775,0.503378125
KNN,0.1725,0.18,0.503378125
KNN,0.175625,0.18,0.503378125
KNN,0.175625,0.1825,0.503378125
KNN,0.178125,0.1825,0.503378125
KNN,0.178125,0.185,0.503378125
KNN,0.17875,0.185,0.503378125
KNN,0.17875,0.1875,0.503378125
KNN,0.179375,0.1875,0.503378125
KNN,0.179375,0.19,0.503378125
KNN,0.180625,0.19,0.503378125
KNN,0.180625,0.1925,0.503378125
KNN,0.189375,0.1925,0.503378125
KNN,0.189375,0.195,0.503378125
KNN,0.19,0.195,0.503378125
KNN,0.19,0.1975,0.503378125
KNN,0.195,0.1975,0.503378125
KNN,0.195,0.2,0.503378125
KNN,0.19875,0.2,0.503378125
KNN,0.19875,0.2025,0.503378125
KNN,0.200625,0.2025,0.503378125
KNN,0.200625,0.205,0.503378125
KNN,0.2025,0.205,0.503378125
KNN,0.2025,0.2075,0.503378125
KNN,0.20875,0.2075,0.503378125
KNN,0.20875,0.21,0.503378125
KNN,0.211875,0.21,0.503378125
KNN,0.211875,0.2125,0.503378125
KNN,0.215,0.2125,0.503378125
KNN,0.215,0.215,0.503378125
KNN,0.219375,0.215,0.503378125
KNN,0.219375,0.2175,0.503378125
KNN,0.22125,0.2175,0.503378125
KNN,0.22125,0.2275,0.503378125
KNN,0.2225,0.2275,0.503378125
KNN,0.2225,0.23,0.503378125
KNN,0.223125,0.23,0.503378125
KNN,0.223125,0.2325,0.503378125
KNN,0.224375,0.2325,0.503378125
KNN,0.224375,0.2375,0.503378125
KNN,0.225,0.2375,0.503378125
KNN,0.225,0.24,0.503378125
KNN,0.2275,0.24,0.503378125
KNN,0.2275,0.2425,0.503378125
KNN,0.233125,0.2425,0.503378125
KNN,0.233125,0.245,0.503378125
KNN,0.23875,0.245,0.503378125
KNN,0.23875,0.2475,0.503378125
KNN,0.2425,0.2475,0.503378125
KNN,0.2425,0.25,0.503378125
KNN,0.249375,0.25,0.503378125
KNN,0.249375,0.2525,0.503378125
KNN,0.250625,0.2525,0.503378125
KNN,0.250625,0.255,0.503378125
KNN,0.2575,0.255,0.503378125
KNN,0.2575,0.2575,0.503378125
KNN,0.261875,0.2575,0.503378125
KNN,0.261875,0.26,0.503378125
KNN,0.263125,0.26,0.503378125
KNN,0.263125,0.2625,0.503378125
KNN,0.264375,0.2625,0.503378125
KNN,0.264375,0.265,0.503378125
KNN,0.266875,0.265,0.503378125
KNN,0.266875,0.27,0.503378125
KNN,0.270625,0.27,0.503378125
KNN,0.270625,0.2725,0.503378125
KNN,0.2725,0.2725,0.503378125
KNN,0.2725,0.2775,0.503378125
KNN,0.2775,0.2775,0.503378125
KNN,0.2775,0.28,0.503378125
KNN,0.278125,0.28,0.503378125
KNN,0.278125,0.2825,0.503378125
KNN,0.27875,0.2825,0.503378125
KNN,0.27875,0.285,0.503378125
KNN,0.284375,0.285,0.503378125
KNN,0.284375,0.2875,0.503378125
KNN,0.285625,0.2875,0.503378125
KNN,0.285625,0.29,0.503378125
KNN,0.28625,0.29,0.503378125
KNN,0.28625,0.2925,0.503378125
KNN,0.286875,0.2925,0.503378125
KNN,0.286875,0.295,0.503378125
KNN,0.28875,0.295,0.503378125
KNN,0.28875,0.2975,0.503378125
KNN,0.29,0.2975,0.503378125
KNN,0.29,0.3,0.503378125
KNN,0.29125,0.3,0.503378125
KNN,0.29125,0.3025,0.503378125
KNN,0.2925,0.3025,0.503378125
KNN,0.2925,0.305,0.503378125
KNN,0.298125,0.305,0.503378125
KNN,0.298125,0.3075,0.503378125
KNN,0.3,0.3075,0.503378125
KNN,0.3,0.31,0.503378125
KNN,0.300625,0.31,0.503378125
KNN,0.300625,0.3125,0.503378125
KNN,0.310625,0.3125,0.503378125
KNN,0.310625,0.315,0.503378125
KNN,0.315625,0.315,0.503378125
KNN,0.315625,0.3175,0.503378125
KNN,0.32,0.3175,0.503378125
KNN,0.32,0.32,0.503378125
KNN,0.321875,0.32,0.503378125
KNN,0.321875,0.3225,0.503378125
KNN,0.3225,0.3225,0.503378125
KNN,0.3225,0.325,0.503378125
KNN,0.3275,0.325,0.503378125
KNN,0.3275,0.3275,0.503378125
KNN,0.32875,0.3275,0.503378125
KNN,0.32875,0.33,0.503378125
KNN,0.333125,0.33,0.503378125
KNN,0.333125,0.3325,0.503378125
KNN,0.33875,0.3325,0.503378125
KNN,0.33875,0.335,0.503378125
KNN,0.346875,0.335,0.503378125
KNN,0.346875,0.3375,0.503378125
KNN,0.35,0.3375,0.503378125
KNN,0.35,0.34,0.503378125
KNN,0.358125,0.34,0.503378125
KNN,0.358125,0.3425,0.503378125
KNN,0.360625,0.3425,0.503378125
KNN,0.360625,0.345,0.503378125
KNN,0.365625,0.345,0.503378125
KNN,0.365625,0.35,0.503378125
KNN,0.366875,0.35,0.503378125
KNN,0.366875,0.3525,0.503378125
KNN,0.373125,0.3525,0.503378125
KNN,0.373125,0.3575,0.503378125
KNN,0.374375,0.3575,0.503378125
KNN,0.374375,0.365,0.503378125
KNN,0.376875,0.365,0.503378125
KNN,0.376875,0.3675,0.503378125
KNN,0.3775,0.3675,0.503378125
KNN,0.3775,0.37,0.503378125
KNN,0.379375,0.37,0.503378125
KNN,0.379375,0.375,0.503378125
KNN,0.383125,0.375,0.503378125
KNN,0.383125,0.3775,0.503378125
KNN,0.385,0.3775,0.503378125
KNN,0.385,0.3825,0.503378125
KNN,0.39125,0.3825,0.503378125
KNN,0.39125,0.385,0.503378125
KNN,0.391875,0.385,0.503378125
KNN,0.391875,0.3875,0.503378125
KNN,0.3925,0.3875,0.503378125
KNN,0.3925,0.39,0.503378125
KNN,0.395625,0.39,0.503378125
KNN,0.395625,0.3925,0.503378125
KNN,0.39875,0.3925,0.503378125
KNN,0.39875,0.4,0.503378125
KNN,0.4,0.4,0.503378125
KNN,0.4,0.4025,0.503378125
KNN,0.400625,0.4025,0.503378125
KNN,0.400625,0.4075,0.503378125
KNN,0.41,0.4075,0.503378125
KNN,0.41,0.41,0.503378125
