Dataset,Model,Accuracy_With_PCA,Precision_With_PCA,Recall_With_PCA,F1_With_PCA,ROC_AUC_With_PCA,Training_Time_Seconds_With_PCA,Accuracy_Without_PCA,Precision_Without_PCA,Recall_Without_PCA,F1_Without_PCA,ROC_AUC_Without_PCA,Training_Time_Seconds_Without_PCA,Accuracy_Diff,Precision_Diff,Recall_Diff,F1_Diff,ROC_AUC_Diff,Training_Time_Seconds_Diff
Clinical,KNN,0.203,0.2,0.995,0.3330543933054393,0.5267078124999999,16.900079099985305,0.203,0.2,0.995,0.33305439330543934,0.5267078124999999,32.0471093999804,0.0,0.0,0.0,-5.551115123125783e-17,0.0,-15.147030299995095
Clinical,SVM,0.2005,0.1994987468671679,0.995,0.3323590814196242,0.5225484375,96.29262560000645,0.1995,0.19959979989994997,0.9975,0.3326385994164235,0.5160609375,280.51498249999713,0.0010000000000000009,-0.00010105303278207245,-0.0025000000000000577,-0.00027951799679926115,0.006487499999999979,-184.2223568999907
Clinical,XGBoost,0.2005,0.2001000500250125,1.0,0.3334722801167153,0.527034375,2.955705599975772,0.202,0.19919517102615694,0.99,0.3316582914572864,0.47658281249999995,17.08790099999169,-0.0015000000000000013,0.0009048789988555517,0.010000000000000009,0.001813988659428889,0.0504515625000001,-14.132195400015917
Clinical,MLP,0.2,0.2,1.0,0.3333333333333333,0.5140984375,16.509774300036952,0.202,0.20040080160320642,1.0,0.333889816360601,0.5065921875,39.63213939999696,-0.0020000000000000018,-0.0004008016032064077,0.0,-0.0005564830272676846,0.007506249999999937,-23.122365099960007
Lifestyle,KNN,0.231,0.2017819706498951,0.9625,0.3336221837088388,0.4973984375,9.334218200005123,0.231,0.20178197064989517,0.9625,0.33362218370883884,0.497525,21.66187049995642,0.0,-8.326672684688674e-17,0.0,-5.551115123125783e-17,-0.0001265624999999826,-12.327652299951298
Lifestyle,SVM,0.2,0.2,1.0,0.3333333333333333,0.48059375,123.93702590005704,0.2,0.2,1.0,0.3333333333333333,0.4850046875,136.63475290004862,0.0,0.0,0.0,0.0,-0.0044109374999999895,-12.697726999991588
Lifestyle,XGBoost,0.203,0.1975683890577507,0.975,0.3285593934288121,0.49721796875,1.8725328000145964,0.2,0.2,1.0,0.3333333333333333,0.4901179687499999,3.000363599974662,0.0030000000000000027,-0.002431610942249307,-0.025000000000000022,-0.0047739399045212405,0.007100000000000106,-1.1278307999600656
Lifestyle,MLP,0.2,0.2,1.0,0.3333333333333333,0.48941875,8.167633100005332,0.2,0.2,1.0,0.3333333333333333,0.4989671875,10.527874199964572,0.0,0.0,0.0,0.0,-0.009548437500000007,-2.3602410999592394
Merged,KNN,0.2,0.2,1.0,0.3333333333333333,0.503378125,16.304577600036282,0.2,0.2,1.0,0.3333333333333333,0.503378125,6.570951600035187,0.0,0.0,0.0,0.0,0.0,9.733626000001095
Merged,SVM,0.2025,0.200501253132832,1.0,0.3340292275574112,0.484896875,281.6435734999832,0.203,0.20060180541624875,1.0,0.3341687552213868,0.4923328125,128.04699729999993,-0.0005000000000000004,-0.00010055228341673828,0.0,-0.00013952766397556937,-0.007435937499999989,153.59657619998325
Merged,XGBoost,0.2005,0.2001000500250125,1.0,0.3334722801167153,0.49870625,18.135529799968936,0.2,0.2,1.0,0.3333333333333333,0.48707187500000004,4.860100099991541,0.0005000000000000004,0.0001000500250124825,0.0,0.00013894678338199906,0.011634374999999975,13.275429699977394
Merged,MLP,0.201,0.2002002002002002,1.0,0.3336113427856547,0.4860125,75.93449029995827,0.2045,0.2,0.9925,0.3329140461215933,0.49852031249999995,16.89217629999621,-0.0034999999999999754,0.00020020020020020124,0.007499999999999951,0.0006972966640613754,-0.012507812499999937,59.04231399996206
