Dataset,Model,Uses_PCA,Original_Features,Train_Rows_Used,CV_Best_F1,Best_Threshold,Model_N_Neighbors,Model_Distance,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time_Seconds,TN,FP,FN,TP,PCA_Variance_Target,PCA_Components,Explained_Variance
Clinical,KNN,True,14,202944,0.3421920063877818,0.6715920567512512,21.0,Manhattan,0.824247082939136,0.27117894271178944,0.5130780498012136,0.3548223717531293,0.7727517976116242,70.42643562890589,39367,6590,2327,2452,0.99,14,0.9999999999999999
Clinical,SVM,True,14,40000,0.3695773597404934,0.688233618663567,,,0.824010564490697,0.2839441899208663,0.5706214689265536,0.3791976639087812,0.8129357827476519,139.4213326270692,39080,6877,2052,2727,0.99,14,1.0
Clinical,XGBoost,True,14,202944,0.36824440322156826,0.7096447944641113,,,0.8536739198990855,0.33055733504164,0.5398618957940992,0.41004450095359185,0.8431180401024725,15.364159133750945,40732,5225,2199,2580,0.99,14,0.9999999999999999
Clinical,MLP,True,14,202944,0.3634909135450445,0.6966714550052946,,,0.831086408073163,0.29952406134320464,0.5925925925925926,0.3979204721090347,0.8311461286060854,357.6733859088272,39334,6623,1947,2832,0.9,12,0.9345296533397226
