Model,Accuracy,Precision,Recall,F1,ROC_AUC
KNN,0.8255479344055503,0.2744294261023709,0.5183092697216991,0.3588554871423397,0.789306249562699
SVM,0.8048328602964364,0.2647626044632197,0.6032642812303829,0.3680112330865458,0.8016666443334999
XGBoost,0.8558420056764428,0.336261464927012,0.5446746181209458,0.415814696485623,0.8449097952463848
MLP,0.8217439293598234,0.2791757274515895,0.5641347562251517,0.3735106677750069,0.8140370150408027
PyTorch-LateFusion,0.853319142226427,0.3353123067408782,0.5672734881774429,0.4214863184079602,0.8497659750474191
CatBoost,0.7367746767581205,0.2393946760666099,0.8242310106716887,0.3710262327509066,0.8479454804643458
