Model,Accuracy,Precision,Recall,F1,ROC_AUC
KNN,0.8109232103437402,0.25944433339996,0.5432098765432098,0.351166723030098,0.7872924216944646
SVM,0.8055029959003469,0.265462254585676,0.6026365348399246,0.3685692347069362,0.8018715221129563
XGBoost,0.8493968779564806,0.32324604743083,0.5476041012764177,0.4065242718446601,0.8419934797807187
MLP,0.8410004730368968,0.3043323018328969,0.5350491734672526,0.3879827023746302,0.8248276773074394
PyTorch-LateFusion,0.853319142226427,0.3353123067408782,0.5672734881774429,0.4214863184079602,0.8497659750474191
CatBoost,0.7367746767581205,0.2393946760666099,0.8242310106716887,0.3710262327509066,0.8479454804643458
