Model,Dataset,Uses_PCA,Original_Features,Train_Rows_Used,Best_Threshold,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time_Seconds,TN,FP,FN,TP
PyTorch-LateFusion,Merged,False,21.0,172502.0,0.6985642313957214,0.853319142226427,0.3353123067408782,0.5672734881774429,0.4214863184079602,0.8497659750474191,149.80909453425556,40583.0,5374.0,2068.0,2711.0
CatBoost,Merged,False,21.0,202944.0,0.5,0.7367746767581205,0.23939467606660994,0.8242310106716887,0.3710262327509066,0.8479454804643458,0.924568559974432,33442.0,12515.0,840.0,3939.0
