Dataset,Model,Uses_PCA,Original_Features,Train_Rows_Used,CV_Best_F1,Best_Threshold,Model_N_Neighbors,Model_Distance,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time_Seconds,TN,FP,FN,TP,PCA_Variance_Target,PCA_Components,Explained_Variance
Lifestyle,KNN,True,7,202944,0.04602797389425964,0.0,5.0,Manhattan,0.09419347209082309,0.09419347209082309,1.0,0.17216968386922454,0.5648070892692831,39.836171799805015,0,45957,0,4779,0.9,7,1.0
Lifestyle,SVM,True,7,40000,0.2213820333093727,0.5763208437910041,,,0.5283625039419741,0.12953648533622225,0.7005649717514124,0.21864489795918368,0.6202431908393966,132.13307191198692,23459,22498,1431,3348,0.9,7,1.0
Lifestyle,XGBoost,True,7,202944,0.22310040623071042,0.5637010335922241,,,0.7295608640807316,0.15244092039800994,0.41033689056287925,0.22229779515955336,0.6385292873393578,12.031878468114883,35054,10903,2818,1961,0.9,7,1.0
Lifestyle,MLP,True,7,202944,0.22221562980829196,0.5600763778594591,,,0.7289104383475244,0.15221266372161513,0.4109646369533375,0.222146815971044,0.6385074003805417,376.84692490985617,35018,10939,2815,1964,0.9,7,1.0
