Model,Clinical,Lifestyle,Merged,Improvement_vs_Clinical,Improvement_vs_Lifestyle
KNN,0.3548223717531293,0.1721696838692245,0.351166723030098,-0.003655648723031313,0.1789970391608735
MLP,0.3979204721090347,0.222146815971044,0.3879827023746302,-0.009937769734404522,0.16583588640358618
SVM,0.3791976639087812,0.2186448979591836,0.3685692347069362,-0.01062842920184498,0.1499243367477526
XGBoost,0.4100445009535918,0.2222977951595533,0.4065242718446601,-0.003520229108931683,0.1842264766851068
