Dataset,Model,Uses_PCA,Original_Features,Train_Rows_Used,CV_Best_F1,Best_Threshold,Model_N_Neighbors,Model_Distance,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time_Seconds,TN,FP,FN,TP,PCA_Variance_Target,PCA_Components,Explained_Variance
Merged,KNN,True,21,202944,0.3360948373844764,0.6795459985733032,21.0,Manhattan,0.8109232103437402,0.25944433339996004,0.5432098765432098,0.35116672303009805,0.7872924216944646,57.893847710918635,38547,7410,2183,2596,0.99,21,1.0000000000000002
Merged,SVM,True,21,40000,0.36997330772029763,0.5005675957222555,,,0.8055029959003469,0.26546225458567607,0.6026365348399246,0.36856923470693626,0.8018715221129563,145.53131537279114,37988,7969,1899,2880,0.99,21,1.0
Merged,XGBoost,True,21,202944,0.3718949869869729,0.6928115487098694,,,0.8493968779564806,0.32324604743083,0.5476041012764177,0.40652427184466017,0.8419934797807187,15.425534582231194,40478,5479,2162,2617,0.99,21,1.0000000000000002
Merged,MLP,True,21,202944,0.3561554358008643,0.7203808374061952,,,0.8410004730368968,0.30433230183289695,0.5350491734672526,0.3879827023746302,0.8248276773074394,419.66353002237156,40112,5845,2222,2557,0.9,17,0.9056840833378466
