Dataset,Model,Uses_PCA,Original_Features,CV_Best_F1,Best_Threshold,Model_N_Neighbors,Model_Distance,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time_Seconds,TN,FP,FN,TP,PCA_Variance_Target,PCA_Components,Explained_Variance
Merged,KNN,True,15,0.3477998128534973,0.5455342240099297,21.0,Manhattan,0.6568396226415094,0.23355263157894737,0.5503875968992248,0.3279445727482679,0.6344675529104807,18.659665199986193,486,233,58,71,0.9,11,0.921959200537072
Merged,SVM,True,15,0.34662761138232834,0.4875194598875016,,,0.6851415094339622,0.2366412213740458,0.4806201550387597,0.3171355498721228,0.6406184299899731,45.826927300018724,519,200,67,62,0.99,15,1.0
Merged,XGBoost,True,15,0.32119117331373404,0.30762818455696106,,,0.6132075471698113,0.2148997134670487,0.5813953488372093,0.3138075313807531,0.6520576597556899,8.305835200008005,445,274,54,75,0.99,15,1.0
Merged,MLP,True,15,0.3283828673885246,0.4903423589314236,,,0.6945754716981132,0.2149122807017544,0.3798449612403101,0.27450980392156865,0.619648305678645,22.37135000003036,540,179,80,49,0.9,11,0.921959200537072
