Model,Clinical,Lifestyle,Merged,Improvement_vs_Clinical,Improvement_vs_Lifestyle
KNN,0.3073394495412844,0.2819672131147541,0.3279445727482679,0.02060512320698349,0.04597735963351379
MLP,0.2737430167597765,0.3361823361823361,0.2745098039215686,0.0007667871617920707,-0.06167253226076752
SVM,0.350943396226415,0.3372365339578454,0.3171355498721228,-0.03380784635429224,-0.02010098408572264
XGBoost,0.2969187675070028,0.3087248322147651,0.3138075313807531,0.016888763873750323,0.005082699165988025
