Dataset,Model,Uses_PCA,Original_Features,CV_Best_F1,Best_Threshold,Model_N_Neighbors,Model_Distance,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time_Seconds,TN,FP,FN,TP,PCA_Variance_Target,PCA_Components,Explained_Variance
Lifestyle,KNN,True,7,0.24297477846884363,0.23076923076944683,21.0,Euclidean,0.4834905660377358,0.1787941787941788,0.6666666666666666,0.2819672131147541,0.5295630235792606,9.948312100023031,324,395,43,86,0.9,6,0.9663966370674364
Lifestyle,SVM,True,7,0.3357049317301923,0.47595551638475125,,,0.6662735849056604,0.24161073825503357,0.5581395348837209,0.3372365339578454,0.638542980668672,25.971736299979966,493,226,57,72,0.99,7,1.0
Lifestyle,XGBoost,True,7,0.2959001735803305,0.43516984581947327,,,0.6356132075471698,0.2169811320754717,0.5348837209302325,0.3087248322147651,0.614823559853802,1.4445804000133649,470,249,60,69,0.99,7,1.0
Lifestyle,MLP,True,7,0.3319542955262124,0.578031694982058,,,0.7252358490566038,0.26576576576576577,0.4573643410852713,0.33618233618233617,0.6577611023061745,2.8203164000296965,556,163,70,59,0.9,6,0.9663966370674364
