Model,FPR,TPR,AUC
KNN,0.0,0.0,0.6344675529104807
KNN,0.004172461752433936,0.015503875968992248,0.6344675529104807
KNN,0.011126564673157162,0.015503875968992248,0.6344675529104807
KNN,0.011126564673157162,0.023255813953488372,0.6344675529104807
KNN,0.013908205841446454,0.023255813953488372,0.6344675529104807
KNN,0.013908205841446454,0.031007751937984496,0.6344675529104807
KNN,0.01808066759388039,0.031007751937984496,0.6344675529104807
KNN,0.01808066759388039,0.03875968992248062,0.6344675529104807
KNN,0.02086230876216968,0.03875968992248062,0.6344675529104807
KNN,0.02086230876216968,0.06201550387596899,0.6344675529104807
KNN,0.02364394993045897,0.06201550387596899,0.6344675529104807
KNN,0.02364394993045897,0.06976744186046512,0.6344675529104807
KNN,0.037552155771905425,0.06976744186046512,0.6344675529104807
KNN,0.037552155771905425,0.07751937984496124,0.6344675529104807
KNN,0.03894297635605007,0.07751937984496124,0.6344675529104807
KNN,0.03894297635605007,0.08527131782945736,0.6344675529104807
KNN,0.04172461752433936,0.08527131782945736,0.6344675529104807
KNN,0.04172461752433936,0.09302325581395349,0.6344675529104807
KNN,0.043115438108484005,0.09302325581395349,0.6344675529104807
KNN,0.043115438108484005,0.10852713178294573,0.6344675529104807
KNN,0.04728789986091794,0.10852713178294573,0.6344675529104807
KNN,0.04728789986091794,0.11627906976744186,0.6344675529104807
KNN,0.048678720445062586,0.11627906976744186,0.6344675529104807
KNN,0.048678720445062586,0.12403100775193798,0.6344675529104807
KNN,0.05146036161335188,0.12403100775193798,0.6344675529104807
KNN,0.05146036161335188,0.13178294573643412,0.6344675529104807
KNN,0.055632823365785816,0.13178294573643412,0.6344675529104807
KNN,0.055632823365785816,0.14728682170542637,0.6344675529104807
KNN,0.06536856745479833,0.14728682170542637,0.6344675529104807
KNN,0.06536856745479833,0.15503875968992248,0.6344675529104807
KNN,0.06954102920723226,0.15503875968992248,0.6344675529104807
KNN,0.06954102920723226,0.17054263565891473,0.6344675529104807
KNN,0.07510431154381085,0.17054263565891473,0.6344675529104807
KNN,0.07510431154381085,0.17829457364341086,0.6344675529104807
KNN,0.0917941585535466,0.17829457364341086,0.6344675529104807
KNN,0.0917941585535466,0.18604651162790697,0.6344675529104807
KNN,0.10152990264255911,0.18604651162790697,0.6344675529104807
KNN,0.10152990264255911,0.20155038759689922,0.6344675529104807
KNN,0.11265646731571627,0.20155038759689922,0.6344675529104807
KNN,0.11265646731571627,0.2248062015503876,0.6344675529104807
KNN,0.1168289290681502,0.2248062015503876,0.6344675529104807
KNN,0.1168289290681502,0.23255813953488372,0.6344675529104807
KNN,0.1349095966620306,0.23255813953488372,0.6344675529104807
KNN,0.1349095966620306,0.24031007751937986,0.6344675529104807
KNN,0.1474269819193324,0.24031007751937986,0.6344675529104807
KNN,0.1474269819193324,0.24806201550387597,0.6344675529104807
KNN,0.15577190542420027,0.24806201550387597,0.6344675529104807
KNN,0.15577190542420027,0.2558139534883721,0.6344675529104807
KNN,0.15855354659248957,0.2558139534883721,0.6344675529104807
KNN,0.15855354659248957,0.26356589147286824,0.6344675529104807
KNN,0.1599443671766342,0.26356589147286824,0.6344675529104807
KNN,0.1599443671766342,0.2713178294573643,0.6344675529104807
KNN,0.16550764951321278,0.2713178294573643,0.6344675529104807
KNN,0.16550764951321278,0.27906976744186046,0.6344675529104807
KNN,0.16828929068150209,0.27906976744186046,0.6344675529104807
KNN,0.16828929068150209,0.2868217054263566,0.6344675529104807
KNN,0.17107093184979139,0.2868217054263566,0.6344675529104807
KNN,0.17107093184979139,0.29457364341085274,0.6344675529104807
KNN,0.17385257301808066,0.29457364341085274,0.6344675529104807
KNN,0.17385257301808066,0.3023255813953488,0.6344675529104807
KNN,0.17524339360222532,0.3023255813953488,0.6344675529104807
KNN,0.17524339360222532,0.31007751937984496,0.6344675529104807
KNN,0.17663421418636996,0.31007751937984496,0.6344675529104807
KNN,0.17663421418636996,0.3178294573643411,0.6344675529104807
KNN,0.1835883171070932,0.3178294573643411,0.6344675529104807
KNN,0.1835883171070932,0.32558139534883723,0.6344675529104807
KNN,0.18776077885952713,0.32558139534883723,0.6344675529104807
KNN,0.18776077885952713,0.3333333333333333,0.6344675529104807
KNN,0.19471488178025034,0.3333333333333333,0.6344675529104807
KNN,0.19471488178025034,0.34108527131782945,0.6344675529104807
KNN,0.19888734353268428,0.34108527131782945,0.6344675529104807
KNN,0.19888734353268428,0.3488372093023256,0.6344675529104807
KNN,0.20584144645340752,0.3488372093023256,0.6344675529104807
KNN,0.20584144645340752,0.3798449612403101,0.6344675529104807
KNN,0.21696801112656466,0.3798449612403101,0.6344675529104807
KNN,0.21696801112656466,0.3953488372093023,0.6344675529104807
KNN,0.2239221140472879,0.3953488372093023,0.6344675529104807
KNN,0.2239221140472879,0.40310077519379844,0.6344675529104807
KNN,0.23226703755215578,0.40310077519379844,0.6344675529104807
KNN,0.23226703755215578,0.4108527131782946,0.6344675529104807
KNN,0.2336578581363004,0.4108527131782946,0.6344675529104807
KNN,0.2336578581363004,0.43410852713178294,0.6344675529104807
KNN,0.24478442280945759,0.43410852713178294,0.6344675529104807
KNN,0.24478442280945759,0.4418604651162791,0.6344675529104807
KNN,0.24617524339360222,0.4418604651162791,0.6344675529104807
KNN,0.24617524339360222,0.4573643410852713,0.6344675529104807
KNN,0.2573018080667594,0.4573643410852713,0.6344675529104807
KNN,0.2573018080667594,0.46511627906976744,0.6344675529104807
KNN,0.282336578581363,0.46511627906976744,0.6344675529104807
KNN,0.282336578581363,0.4728682170542636,0.6344675529104807
KNN,0.28372739916550765,0.4728682170542636,0.6344675529104807
KNN,0.28372739916550765,0.4883720930232558,0.6344675529104807
KNN,0.28789986091794156,0.4883720930232558,0.6344675529104807
KNN,0.28789986091794156,0.49612403100775193,0.6344675529104807
KNN,0.29207232267037553,0.49612403100775193,0.6344675529104807
KNN,0.29207232267037553,0.5038759689922481,0.6344675529104807
KNN,0.2948539638386648,0.5038759689922481,0.6344675529104807
KNN,0.2948539638386648,0.5193798449612403,0.6344675529104807
KNN,0.29624478442280944,0.5193798449612403,0.6344675529104807
KNN,0.29624478442280944,0.5271317829457365,0.6344675529104807
KNN,0.3004172461752434,0.5271317829457365,0.6344675529104807
KNN,0.3004172461752434,0.5348837209302325,0.6344675529104807
KNN,0.3129346314325452,0.5348837209302325,0.6344675529104807
KNN,0.3129346314325452,0.5426356589147286,0.6344675529104807
KNN,0.3157162726008345,0.5426356589147286,0.6344675529104807
KNN,0.3157162726008345,0.5503875968992248,0.6344675529104807
KNN,0.3282336578581363,0.5503875968992248,0.6344675529104807
KNN,0.3282336578581363,0.5581395348837209,0.6344675529104807
KNN,0.33101529902642557,0.5581395348837209,0.6344675529104807
KNN,0.33101529902642557,0.5658914728682171,0.6344675529104807
KNN,0.33657858136300417,0.5658914728682171,0.6344675529104807
KNN,0.33657858136300417,0.5736434108527132,0.6344675529104807
KNN,0.36022253129346316,0.5736434108527132,0.6344675529104807
KNN,0.36022253129346316,0.5813953488372093,0.6344675529104807
KNN,0.37830319888734354,0.5813953488372093,0.6344675529104807
KNN,0.37830319888734354,0.5891472868217055,0.6344675529104807
KNN,0.39777468706536856,0.5891472868217055,0.6344675529104807
KNN,0.39777468706536856,0.6046511627906976,0.6344675529104807
KNN,0.40333796940194716,0.6046511627906976,0.6344675529104807
KNN,0.40333796940194716,0.6124031007751938,0.6344675529104807
KNN,0.40751043115438107,0.6124031007751938,0.6344675529104807
KNN,0.40751043115438107,0.6201550387596899,0.6344675529104807
KNN,0.4172461752433936,0.6201550387596899,0.6344675529104807
KNN,0.4172461752433936,0.627906976744186,0.6344675529104807
KNN,0.42141863699582754,0.627906976744186,0.6344675529104807
KNN,0.42141863699582754,0.6356589147286822,0.6344675529104807
KNN,0.4283727399165508,0.6356589147286822,0.6344675529104807
KNN,0.4283727399165508,0.6434108527131783,0.6344675529104807
KNN,0.43115438108484005,0.6434108527131783,0.6344675529104807
KNN,0.43115438108484005,0.6511627906976745,0.6344675529104807
KNN,0.4561891515994437,0.6511627906976745,0.6344675529104807
KNN,0.4561891515994437,0.6589147286821705,0.6344675529104807
KNN,0.47009735744089015,0.6589147286821705,0.6344675529104807
KNN,0.47009735744089015,0.6666666666666666,0.6344675529104807
KNN,0.4728789986091794,0.6666666666666666,0.6344675529104807
KNN,0.4728789986091794,0.6744186046511628,0.6344675529104807
KNN,0.4812239221140473,0.6744186046511628,0.6344675529104807
KNN,0.4812239221140473,0.689922480620155,0.6344675529104807
KNN,0.48956884561891517,0.689922480620155,0.6344675529104807
KNN,0.48956884561891517,0.7054263565891473,0.6344675529104807
KNN,0.4909596662030598,0.7054263565891473,0.6344675529104807
KNN,0.4909596662030598,0.7131782945736435,0.6344675529104807
KNN,0.5201668984700973,0.7131782945736435,0.6344675529104807
